title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Senior/Mid DevOps Engineer,,Алматы,Неткрэкер Текнолоджи Казахстан,14-11-2025 13:13:53,Опыт работы DevOps/SRE от 3-х лет. Контейнеризация: Kubernetes/OpenShift/docker. Управление конфигурациями: Ansible/Terraform. Скрипты: Python / Bash / Ruby. ,Автоматизация развертывания и настройки инфраструктуры и приложений. Оптимизация процессов совместно с проектной командой. Участие в командных совещаниях.,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127710380
DevOps Engineer,,Алматы,Parqour Parking Management,20-11-2025 08:22:04,"Опыт администрирования и эксплуатации Kubernetes (в том числе развертывание с помощью Kubespray, работа с кластерами в облаке и on-premise). ","Поддержка и развитие мультикластерной инфраструктуры (production, staging, DR). Построение и сопровождение процессов CI/CD с использованием GitOps-подхода. ","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127500405
DevOps Engineer,,Алматы,Unico,22-10-2025 12:42:19,Опыт работы на позиции DevOps <highlighttext>Engineer</highlighttext> от 3 лет. Глубокое понимание принципов DevOps и CI/CD. Опыт работы с Kubernetes...,"Развертывание и поддержка высоконагруженной, отказоустойчивой инфраструктуры. Разработка и внедрение автоматизированных процессов CI/CD. Настройка и поддержка систем мониторинга и логирования. ","{'id': 'remote', 'name': 'Удаленная работа'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/126819286
DevOps Engineer (AI Infrastructure),,Астана,Armeta KZ,06-11-2025 12:08:20,"Expert-level knowledge of Kubernetes (K8s) and the container ecosystem (Docker). Proven experience managing on-premise, bare-metal...","Design, build, and maintain our high-availability on-premise infrastructure, built on Kubernetes and bare-metal (including supercomputers and NVIDIA...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127360510
Middle DevOps Engineer,900000 KZT,Алматы,ZAQAZ BER,31-10-2025 09:00:18,2+ лет опыта в роли DevOps / SRE / Platform. Практический опыт с Kubernetes в проде (в том числе в Yandex...,"Развивать и поддерживать CI/CD (GitLab CI): сборка Docker-образов, тесты, деплой на dev/test/prod. Писать и оптимизировать Dockerfile...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127167258
"DevOps инженер (Алматы, офис)",,Алматы,InformConsulting,12-11-2025 09:36:52,Опыт в DevOps от 2–3 лет. Имеешь опыт с Docker. Знаком с Linux на «ты». Работаешь с Terraform/Ansible...,"Развивать CI/CD для наших сервисов (Bitbucket Pipelines). Поддерживать контейнеризацию: деплой, мониторинг, магия. (Docker). Автоматизировать всё, что можно автоматизировать (а...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127166859
DevOps-инженер,,Алматы,Home Credit Bank,10-11-2025 16:10:40,"Опыт работы DevOps от 2 лет. Знание Linux, Bash, Git, Jenkins, Docker. Опыт работы с CI/CD, RabbitMQ, JMS, REST...","Поддержка и развитие инфраструктуры карточной системы CABUS. Настройка и автоматизация CI/CD процессов (Jenkins, GitLab CI и др.). ","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127486776
DevOps-инженер,,Астана,Freedom Holding Operations,03-11-2025 13:07:55,Высшее техническое образование. Опыт работы: не менее трех лет в сфере DevOps. Знания и опыт работы в операционных системах семейства...,"Проектирование и улучшение платформ, систем и ПО для доставки кода, контейнерных приложений, мониторинга, сбора метрик и логов. Обеспечение доступности и...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127252787
DevOps Engineer,,Алматы,Home Credit Bank,07-11-2025 11:33:45,"Опыт работы в качестве DevOps <highlighttext>инженера</highlighttext> от 3 лет. Знание инструментов DevOps и CI/CD. Опыт работы с Docker, Kubernetes. ","Участие в автоматизации процессов развертывания приложений (Kubernetes, Weblogic, Tomcat). Поддержка и развитие систем в Kubernetes. Поддержка и развитие CI/CD...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127401324
Senior DevOps Engineer,,Алматы,SAPA Technologies,17-11-2025 15:37:31,"Опыт работы: 3+ года в роли DevOps / Cloud <highlighttext>Engineer</highlighttext>. ОС: Уверенное владение Linux. Контейнеризация: Знание Docker и Kubernetes, опыт...","Управление инфраструктурой. Облачные сервисы: Поддержка и контроль облачных сервисов для обеспечения высокой доступности и производительности. Контейнеризация: Разработка, развертывание и сопровождение...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127127029
Middle / Senior DevOps Engineer,,Алматы,Kaspi.kz,06-11-2025 11:38:09,Коммерческий опыт от 4+ лет. Понимание архитектуры Kubernetes и каждой из его составляющих. Опыт в администрировании Kubernetes (control-plane...,"Работа с разработчиками и <highlighttext>инженерами</highlighttext> поддержки сервисов, вовне работа с тех. поддержкой Oracle. Настройка и поддержка инфраструктуры. Знания в области...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127358645
Главный инженер ИТ-инфраструктуры\ DevOps инженер,,Алматы,Народный банк Казахстана,03-11-2025 15:04:52,"Хорошее знание сетевых технологий, стека TCP/IP сопутствующих сервисов (ARP, DNS, DHCP и пр. ), принципов маршрутизации и коммутации. ",,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127254409
DevOps Engineer (AWS),,Алматы,Andersen,14-11-2025 21:21:15,Experience as a DevOps <highlighttext>Engineer</highlighttext> for 2+ years. Strong knowledge and experience with AWS. Experience with Docker and Kubernetes. ,Developing and optimizing CI/CD pipelines to support efficient and reliable software delivery. Automating infrastructure provisioning using Infrastructure as Code...,"{'id': 'remote', 'name': 'Удаленная работа'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127734388
Инженер по автоматизации (DevOps),,Алматы,"ALSECO, АО",11-11-2025 09:34:17,"Ориентированность на результат, стремление развиваться. Самоорганизованность и самодисциплину. Аналитическое мышление и умение систематизировать информацию. Знание принципов взаимодействия web-сервера и...","Администрировать платформу Kubernetes. Администрировать серверы Linux/Windows. Создавать и использовать скрипты для автоматизации рутинных задач (копирование, развёртывание систем, архивирование, мониторинг...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/121881474
Senior DevOps engineer,,Алматы,BTS Digital,22-10-2025 12:56:38,Не менее семи лет работаете с Linux и открытым ПО. Умеете автоматизировать и базово программировать на любом из выбранных вами...,"Понимаете, зачем и как организовать мониторинг на всех уровнях - железо, сеть, система, приложения. Минимизируете ночной on-call / outage методической и...","{'id': 'remote', 'name': 'Удаленная работа'}",Более 6 лет,Полная занятость,https://hh.ru/vacancy/126820169
Middle DevOps Engineer,2500 - 3500 USD,Алматы,Mad Devs,30-10-2025 11:45:09,AWS Experience: Minimum 2 years of hands-on experience in commercial AWS projects. Cloud Mastery: Deep understanding of cloud concepts...,...Officially recognized employment status with legal assistance for collaboration. Expert Development Team: Join a team of seasoned developers and <highlighttext>engineers</highlighttext>.,"{'id': 'remote', 'name': 'Удаленная работа'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127139299
Senior DevOps Engineer (for External Talent Pool),,Алматы,Plexy Platform Kazakhstan,18-11-2025 09:08:11,Опыт работы более 3 лет в коммерческой разработке. Приветствуется опыт работы в FinTech start up'ах.,"Создание и поддержка документации по инфраструктуре, процессам и инструментам. Обучение и наставничество младших DevOps-<highlighttext>инженеров</highlighttext> и других членов команды.","{'id': 'fullDay', 'name': 'Полный день'}",Более 6 лет,Полная занятость,https://hh.ru/vacancy/127560507
Database DevOps Engineer / Database DevOps инженер,,Алматы,devs,29-10-2025 15:48:39,"Proven experience with Apache Pinot (deployment, configuration, query optimization). Deep knowledge of multiple databases (MySQL/MariaDB, ClickHouse, Redis, MongoDB, PostgreSQL...","Deploy, administer, and optimize Apache Pinot clusters (required). Manage and configure other databases (PostgreSQL, MySQL/MariaDB, ClickHouse, Redis, MongoDB, Amazon...","{'id': 'remote', 'name': 'Удаленная работа'}",Более 6 лет,Проектная работа,https://hh.ru/vacancy/125926775
DevOps Engineer (AWS),,Алматы,Andersen,03-11-2025 10:39:52,"Experience as a DevOps <highlighttext>Engineer</highlighttext> for 5+ years in AWS cloud. In-depth knowledge of DevOps methodologies, practices, and...",Develop and optimize CI/CD pipelines to support efficient and reliable software delivery. Automate infrastructure provisioning using Infrastructure as Code...,"{'id': 'remote', 'name': 'Удаленная работа'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127250618
