title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Аналитик данных (Data Analyst),,Алматы,МК-Золото ломбард,24-10-2025 08:36:37,"Высшее образование. Опыт работы в <highlighttext>аналитике</highlighttext> данных, <highlighttext>аналитике</highlighttext> продаж или продуктовой <highlighttext>аналитике</highlighttext> от 2 лет. Уверенное владение SQL (запросы, агрегации...","Работать с большими массивами данных и аналитическими моделями. Создавать фактические и прогнозные модели показателей, анализировать их влияние на бизнес и...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/126895812
Data Analyst в Департамент внутреннего аудита,,Алматы,Народный банк Казахстана,07-11-2025 15:20:45,"Высшее экономическое, финансовое, математическое или ИТ образование. Специализированные курсы или сертификации по анализу данных или Data science будут преимуществом. ","Анализ данных для выявления трендов и отклонений в банковских продуктах, которые могут указывать на потенциальные риски или несоответствия. ","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127413851
Middle Data analyst CVM,,Алматы,Публичная Компания «Freedom Finance Global PLC»,06-11-2025 13:35:58,"Опыт работы от двух лет в роли <highlighttext>аналитика</highlighttext> по каналам коммуникации, маркетингового <highlighttext>аналитика</highlighttext> или <highlighttext>аналитика</highlighttext> данных. Уверенное владение инструментами для...","Python. GreenPlum. BI Qlik Sense. Сбор и анализ данных по всем каналам коммуникации с клиентами (email, SMS, push, мессенджеры, колл...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127365914
Lead Data Analyst,,Алматы,Freedom Holding Operations,06-11-2025 14:59:11,"Высшее образование (техническое, экономическое или математическое). 5+ лет опыта в <highlighttext>аналитике</highlighttext> данных и 2+ года в роли тимлида...","Организация и координация работы практики по <highlighttext>аналитике</highlighttext> и обработке данных. Коммуникация с руководством, заказчиками и партнёрами по вопросам развития корпоративных...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127370737
Middle Data analyst,,Алматы,Публичная Компания «Freedom Finance Global PLC»,04-11-2025 14:11:01,"Высшее образование в сфере экономики, математики, ИТ или смежных областях. Опыт работы в <highlighttext>аналитике</highlighttext> данных от 3-х лет. ",Участвовать в IPO – первичных размещениях акций с высоким потенциальным доходом. Получать бесплатную финансовую <highlighttext>аналитику</highlighttext> и профессиональные консультации. Обучаться инвестированию и...,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/125134084
Data Engineer,,Астана,Исламский банк Заман Банк,30-10-2025 13:27:50,"SQL: уверенное владение сложными запросами (CTE, оконные функции, подзапросы). Python: опыт разработки ETL/ELT-процессов. СУБД: практический опыт с ClickHouse...","Анализировать бизнес-требования и проектировать витрины данных совместно с Data <highlighttext>Analysts</highlighttext>, Product <highlighttext>Analysts</highlighttext> и Data Scientists. Создавать и оптимизировать ETL...","{'id': 'remote', 'name': 'Удаленная работа'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127145046
Senior Data Quality Analyst,,Алматы,Bereke Bank,05-11-2025 10:28:13,"Профессиональные навыки (критично): Отличное владение SQL для аудита, анализа и очистки данных. Опыт работы с DG/DQ-инструментами (Informatica, OpenMetadata...","Позиция предполагает участие в ключевых процессах Data Governance и Data Quality банка. Основной фокус — аудит и анализ качества данных, настройка...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/126357238
Главный менеджер сектора Data Governance,,Алматы,Казахтелеком,03-11-2025 09:56:51,Опыт работы в сфере Data Governance / управления данными от 3 лет. Практические знания и опыт применения Data Governance Framework (DAMA...,"Руководство сектором Data Governance, координация работы <highlighttext>аналитиков</highlighttext>, стьюардов и других участников DG-процессов. Разработка и внедрение политики, регламентов и стандартов...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127249854
Senior/Lead Data Engineer,,Алматы,Unico,10-11-2025 15:26:15,"Глубокие знания архитектуры хранилищ данных, ETL/ELT процессов и методов моделирования данных. Понимание особенностей работы MPP систем. Опыт работы с...","Взаимодействие с заказчиками, <highlighttext>аналитиками</highlighttext> и продуктовыми командами разработчиков для формирования ТЗ для реализации процессов управления данными. Разработка и поддержка документации...","{'id': 'remote', 'name': 'Удаленная работа'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127483694
Эксперт Data Governance по управлению метаданными,,Алматы,Мобайл Телеком-Сервис (Объединенная Компания Tele2/Altel),10-11-2025 14:36:12,"Опыт 1–3 года в сфере управления/<highlighttext>аналитики</highlighttext> данных (Data Governance, DWH, MDM, Metadata). Навыки проектирования и описания процессов (UML...","Разрабатывать и совершенствовать процессы управления метаданными, включая описание ролей, регламентов и зон ответственности. Выявлять и устранять ошибки и дубликаты в...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127480424
Senior Data Analyst (CVM),,Алматы,"Beeline, ТМ",14-11-2025 09:54:30,"Аналитический склад ума. Высшее образование (математика, программирование, экономика, инженерия). Коммуникабельность и умения работать в команде. SQL advanced. Python - advanced (Pandas...",Анализировать эффективность маркетинговых кампаний. Придумывать и проверять гипотезы по повышению эффективности рекламных кампаний. Развивать отчетность и структуру метрик. ,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127699744
Team Lead Data Analytics,,Астана,Исламский банк Заман Банк,13-11-2025 17:26:44,"3+ лет опыта в <highlighttext>аналитике</highlighttext> данных (BI, Reporting, Data Analysis). Опыт лидерства и технического менторства <highlighttext>аналитиков</highlighttext>. Отличное знание SQL...","Определять и внедрять стандарты <highlighttext>аналитики</highlighttext> и визуализации (метрики, дашборды, подходы к расчётам, codestyle). Создавать и оптимизировать дашборды и отчётность для...","{'id': 'remote', 'name': 'Удаленная работа'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127662638
Data Engineer,,Алматы,Исламский банк Заман Банк,30-10-2025 13:27:50,"SQL: уверенное владение сложными запросами (CTE, оконные функции, подзапросы). Python: опыт разработки ETL/ELT-процессов. СУБД: практический опыт с ClickHouse...","Анализировать бизнес-требования и проектировать витрины данных совместно с Data <highlighttext>Analysts</highlighttext>, Product <highlighttext>Analysts</highlighttext> и Data Scientists. Создавать и оптимизировать ETL...","{'id': 'remote', 'name': 'Удаленная работа'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127145045
