title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
ML-инженер,1200000 - 3500000 KZT,Астана,Академия финансового мониторинга AML ACADEMY,14-11-2025 18:34:34,"Уверенный опыт работы ML <highlighttext>Engineer</highlighttext>/DS/NLP <highlighttext>Engineer</highlighttext>. Глубокие знания в NLP: embeddings, transformers, seq2seq, классификация, NER, semantic...","Разработка, обучение и оптимизация моделей машинного обучения (NLP, классификация, генеративные модели, embeddings, retrieval). Построение и улучшение пайплайнов обработки текстовых данных...","{'id': 'fullDay', 'name': 'Полный день'}",Более 6 лет,Полная занятость,https://hh.ru/vacancy/127731132
"ML-инженер, Choco|Freedom AI Platform",,Алматы,Choco (ТОО Chocofamily),17-11-2025 14:47:39,ML- <highlighttext>инженер</highlighttext> на новый продукт AI Platform для Freedom суперапп. Обязательные. Опыт работы в области Machine Learning / Deep Learning. ,"Развивать технологии обработки казахского языка (NLP, ASR, TTS). Работать над улучшением лексики и контекста LLM для казахского языка. ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127788120
ML / AI Specialist (Middle/Senior),1500000 KZT,Астана,Geometry,18-11-2025 14:31:52,"Обязательные. - 5+ лет опыта в ML/AI. - Глубокий Python: NumPy, Pandas, PyTorch/TensorFlow, FastAPI. - Опыт работы с LLM (локальные...","Ведение ML/AI-задач от постановки до внедрения. - Работа с аналитиками, <highlighttext>инженерами</highlighttext> и заказчиками. - Формирование технических предложений. - Подготовка отчётов и...","{'id': 'fullDay', 'name': 'Полный день'}",Более 6 лет,Полная занятость,https://hh.ru/vacancy/127833528
Middle+ AI/ML Engineer,,Алматы,CALL2ACTIONAI,18-11-2025 20:46:05,"3–5+ лет опыта в AI/ML разработке (LLM, NLP, ML-модели). Опыт построения ML-пайплайнов: препроцессинг, inference, оптимизация...","Создавать, настраивать и обучать AI-агентов, формировать корректные системные и поведенческие промпты. Разрабатывать и поддерживать пайплайны обработки текста и аудио...","{'id': 'remote', 'name': 'Удаленная работа'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127846518
ML-инженер,,Астана,КАЗГИСА,12-11-2025 15:43:00,"Высшее образование в области IT. Уверенные знания одного или нескольких языков программирования (Python, Java, JavaScript, C++ Django, FastAPI и др...","Разработка и поддержка веб-приложений (backend, frontend или full-stack); Разработка и внедрение ML/AI моделей для автоматизации и интеллектуальной...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127600649
ML Developer (credit risk model),,Алматы,Agile Soft,30-10-2025 19:28:12,"Опыт препроцессинга данных и feature <highlighttext>engineering</highlighttext> (pandas, NumPy). Базовые знания продакшн-деплоя (контейнеризация, REST API, системы контроля версий). ","Взаимодействие с кросс-функциональными командами (Data <highlighttext>Engineering</highlighttext>, DevOps) для обеспечения корректной интеграции и деплоя моделей. Оптимизация производительности моделей и устранение...","{'id': 'remote', 'name': 'Удаленная работа'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127160626
