title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Senior Power BI Software Engineer,,Алматы,"Epam Kazakhstan (Эпам Казахстан),ТОО",22-10-2025 09:26:42,5+ years of hands-on experience with Power BI. Knowledge of Python. Proficiency in concepts of Data Analytics and...,"Liaise with the Product owner, collect requirements, and facilitate demo sessions. <highlighttext>Engineer</highlighttext> and implement data models, and conduct data preparation...","{'id': 'remote', 'name': 'Удаленная работа'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/125585478
Software Functional Testing Intern,,Алматы,"Epam Kazakhstan (Эпам Казахстан),ТОО",05-11-2025 12:28:44,English level from B1 (Intermediate) and higher. Familiarity with the <highlighttext>software</highlighttext> development & testing life cycle and Agile frameworks. ,"Solid knowledge of functional testing theory (Test Artifacts; Test Methods, Types and Levels; Main Testing Terms; Test Planning and Analysis...","{'id': 'remote', 'name': 'Удаленная работа'}",Нет опыта,Частичная занятость,https://hh.ru/vacancy/124575598
Software Functional Testing Intern,,Караганда,"Epam Kazakhstan (Эпам Казахстан),ТОО",05-11-2025 12:28:45,English level from B1 (Intermediate) and higher. Familiarity with the <highlighttext>software</highlighttext> development & testing life cycle and Agile frameworks. ,"Solid knowledge of functional testing theory (Test Artifacts; Test Methods, Types and Levels; Main Testing Terms; Test Planning and Analysis...","{'id': 'remote', 'name': 'Удаленная работа'}",Нет опыта,Частичная занятость,https://hh.ru/vacancy/124575601
Software Functional Testing Intern,,Шымкент,"Epam Kazakhstan (Эпам Казахстан),ТОО",05-11-2025 12:28:44,English level from B1 (Intermediate) and higher. Familiarity with the <highlighttext>software</highlighttext> development & testing life cycle and Agile frameworks. ,"Solid knowledge of functional testing theory (Test Artifacts; Test Methods, Types and Levels; Main Testing Terms; Test Planning and Analysis...","{'id': 'remote', 'name': 'Удаленная работа'}",Нет опыта,Частичная занятость,https://hh.ru/vacancy/124575599
Software Functional Testing Intern,,Актобе,"Epam Kazakhstan (Эпам Казахстан),ТОО",05-11-2025 12:28:46,English level from B1 (Intermediate) and higher. Familiarity with the <highlighttext>software</highlighttext> development & testing life cycle and Agile frameworks. ,"Solid knowledge of functional testing theory (Test Artifacts; Test Methods, Types and Levels; Main Testing Terms; Test Planning and Analysis...","{'id': 'remote', 'name': 'Удаленная работа'}",Нет опыта,Частичная занятость,https://hh.ru/vacancy/124575600
Software Functional Testing Intern,,Тараз,"Epam Kazakhstan (Эпам Казахстан),ТОО",05-11-2025 12:28:46,English level from B1 (Intermediate) and higher. Familiarity with the <highlighttext>software</highlighttext> development & testing life cycle and Agile frameworks. ,"Solid knowledge of functional testing theory (Test Artifacts; Test Methods, Types and Levels; Main Testing Terms; Test Planning and Analysis...","{'id': 'remote', 'name': 'Удаленная работа'}",Нет опыта,Частичная занятость,https://hh.ru/vacancy/124575602
Software Functional Testing Intern,,Атырау,"Epam Kazakhstan (Эпам Казахстан),ТОО",05-11-2025 12:28:46,English level from B1 (Intermediate) and higher. Familiarity with the <highlighttext>software</highlighttext> development & testing life cycle and Agile frameworks. ,"Solid knowledge of functional testing theory (Test Artifacts; Test Methods, Types and Levels; Main Testing Terms; Test Planning and Analysis...","{'id': 'remote', 'name': 'Удаленная работа'}",Нет опыта,Частичная занятость,https://hh.ru/vacancy/124575603
Software Functional Testing Intern,,Семей,"Epam Kazakhstan (Эпам Казахстан),ТОО",05-11-2025 12:28:44,English level from B1 (Intermediate) and higher. Familiarity with the <highlighttext>software</highlighttext> development & testing life cycle and Agile frameworks. ,"Solid knowledge of functional testing theory (Test Artifacts; Test Methods, Types and Levels; Main Testing Terms; Test Planning and Analysis...","{'id': 'remote', 'name': 'Удаленная работа'}",Нет опыта,Частичная занятость,https://hh.ru/vacancy/124575608
Software Functional Testing Intern,,Усть-Каменогорск,"Epam Kazakhstan (Эпам Казахстан),ТОО",05-11-2025 12:28:45,English level from B1 (Intermediate) and higher. Familiarity with the <highlighttext>software</highlighttext> development & testing life cycle and Agile frameworks. ,"Solid knowledge of functional testing theory (Test Artifacts; Test Methods, Types and Levels; Main Testing Terms; Test Planning and Analysis...","{'id': 'remote', 'name': 'Удаленная работа'}",Нет опыта,Частичная занятость,https://hh.ru/vacancy/124575605
Software Functional Testing Intern,,Уральск,"Epam Kazakhstan (Эпам Казахстан),ТОО",05-11-2025 12:28:45,English level from B1 (Intermediate) and higher. Familiarity with the <highlighttext>software</highlighttext> development & testing life cycle and Agile frameworks. ,"Solid knowledge of functional testing theory (Test Artifacts; Test Methods, Types and Levels; Main Testing Terms; Test Planning and Analysis...","{'id': 'remote', 'name': 'Удаленная работа'}",Нет опыта,Частичная занятость,https://hh.ru/vacancy/124575604
Software Functional Testing Intern,,Кызылорда,"Epam Kazakhstan (Эпам Казахстан),ТОО",05-11-2025 12:28:45,English level from B1 (Intermediate) and higher. Familiarity with the <highlighttext>software</highlighttext> development & testing life cycle and Agile frameworks. ,"Solid knowledge of functional testing theory (Test Artifacts; Test Methods, Types and Levels; Main Testing Terms; Test Planning and Analysis...","{'id': 'remote', 'name': 'Удаленная работа'}",Нет опыта,Частичная занятость,https://hh.ru/vacancy/124575607
Software Functional Testing Intern,,Павлодар,"Epam Kazakhstan (Эпам Казахстан),ТОО",05-11-2025 12:28:45,English level from B1 (Intermediate) and higher. Familiarity with the <highlighttext>software</highlighttext> development & testing life cycle and Agile frameworks. ,"Solid knowledge of functional testing theory (Test Artifacts; Test Methods, Types and Levels; Main Testing Terms; Test Planning and Analysis...","{'id': 'remote', 'name': 'Удаленная работа'}",Нет опыта,Частичная занятость,https://hh.ru/vacancy/124575606
