title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Менеджер по подбору персонала (Рекрутер),,Костанай,RAUZET Сауда,30-10-2025 10:27:51,"Опыт массового подбора персонала от 6 месяцев (желательно). Умение работать в условиях многозадачности и высоких объемов. Активность, коммуникабельность, организованность, ответственность. ","Массовый подбор персонала на линейные позиции. Точечный подбор, офисные вакансии. Закрытие вакансии в сжатые сроки. Размещение вакансий на сайтах, в...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127134646
Менеджер по подбору персонала,220000 - 420000 KZT,Кокшетау,ЭТАЖИ (ИП Привальцев А.А.),18-11-2025 09:33:15,"Желательно опыт работы HR/рекрутером от 1 года (желательно в сфере продаж, торговли или недвижимости), либо можем рассмотреть без опыта...","Размещение вакансий, поиск сотрудников (у нас работают риелторы, руководители групп продаж, руководители отделов продаж, администратор, HR менеджер, ипотечные брокеры). ","{'id': 'fullDay', 'name': 'Полный день'}",Нет опыта,Полная занятость,https://hh.ru/vacancy/127249525
Рекрутер,,Алматы,Neocode,19-11-2025 12:43:10,"Опыт подбора управленческого состава от 2–3 лет (агентство, инхаус, executive search). - Глубокое понимание бизнес-процессов и управленческих ролей. - ",Ведение полного цикла подбора руководителей и ключевых специалистов (от анализа потребности до выхода кандидата на работу). - Формирование профилей должностей совместно...,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/126871810
Рекрутер / специалист по работе с персоналом (Туран),220000 KZT,Астана,Magnum E-commerce Kazakhstan,30-10-2025 07:46:00,Мы открыты для кандидатов без опыта в рекрутинге! Главное — желание развиваться в этой сфере и учиться новому. Опыт работы в...,"Активный подбор персонала для работы на складе. Ведение отчетности по набору сотрудников. Работа с заявками на вакансии, собеседования и консультирование...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127126747
Менеджер по подбору персонала,,Шымкент,Safa,31-10-2025 12:56:29,,"Сату бөлімін кадрлық қолдау, мотивация және атмосферамен жұмыс. Жұмысқа қабылдау, KPI және ішкі тәртіпті қадағалау. HR саласында тәжірибесі бар (ең...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127179800
Рекрутер,,Алматы,Smart Solutions Personnel,17-11-2025 10:20:04,Есть опыт подбора хотя бы 1 год. Умеешь выстраивать контакт с людьми. Умеешь держать темп и фокус на результате. ,,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127258638
Рекрутер,300000 - 500000 KZT,Алматы,МФА - акцепт (Сеть ресторанов Turandot),20-11-2025 11:51:49,"Опыт подбора персонала в общепите. - Уверенные коммуникативные навыки. - Самоорганизация, ответственность. - Умение работать в динамичном режиме.","Полный цикл подбора персонала (поиск, интервью, оценка, выход на работу). - Работа с различными каналами привлечения: hh.kz, соцсети, рекомендации и др. - ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127139670
Рекрутер на массовый подбор,300000 - 400000 KZT,Алматы,МФО CreditNOVA,19-11-2025 12:31:19,"Опыт работы в сфере подбора персонала от 6 месяцев. Желание работать с людьми. Хорошие коммуникативные навыки (умение устанавливать контакт, расположить...","Определение требований к кандидату и разработка Профилей должности. Заниматься поиском, анализом и отбором резюме соискателей. Проведение онлайн и оффлайн собеседований. ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/126871083
Менеджер по подбору персонала ( Рекрутер ),200000 - 300000 KZT,Талгар,Intellicup,28-10-2025 07:32:23,"Знание русского и казахского языка (т.к. кандидаты обращаются на двух языках). Умение вести деловую переписку, чувство такта и багаж...",Холодные/теплые/горячие звонки соискателям (линейный и ср.звено) - в основном обходимся без холодных звонков. Публикация объявлений о работе. Заказ канцелярии. ,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127035493
HR-менеджер/ Рекрутер,350000 KZT,Астана,Мясная продукция,15-11-2025 09:21:25,"Опыт в подборе (от года будет плюсом). Умение пользоваться современными источниками поиска. Энергичность, открытость и желание расти.",Размещать вакансии и привлекать кандидатов. Проводить собеседования и помогать новым сотрудникам адаптироваться. Формировать кадровый резерв и поддерживать коммуникацию. ,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/126887887
HR-менеджер / Рекрутер,300000 KZT,Актобе,SK QYRULUS,25-10-2025 19:00:46,"Ответственного, внимательного и коммуникабельного человека. С опытом в HR или рекрутинге от 1 года (если меньше — с сильным желанием учиться...","Заниматься рекрутингом: искать, подбирать и адаптировать сотрудников, которые подходят по духу и профессионализму. Вести кадровое делопроизводство: оформлять приказы, договора, личные...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/126936861
Head of recruitment & employer branding,,Алматы,EY (Ernst & Young),12-11-2025 10:06:10,"Bachelor’s degree in Human Resources, Business Administration, Finance, or related field. 5–6 years of experience in talent acquisition...","Manage end-to-end recruitment for all roles — from junior to senior-level professionals in audit, tax, consulting and strategy. ","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127564032
