title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Sound Designer (for External Talent pool),,Алматы,Cyber Temple,20-11-2025 13:41:00,Обсуждать и согласовывать звуковое сопровождение. Реализовывать технические задачи. Обеспечивать целостность игрового опыта. Опыт работы звукорежиссером в геймдеве или смежных областях...,"Создавать звуковые ассеты и имплементировать в игровой движок Unity. Создавать, редактировать и обрабатывать звуковое оформление проекта. Создать фоновую и атмосферную...","{'id': 'remote', 'name': 'Удаленная работа'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127711958
Дизайнер интерьера,300000 - 400000 KZT,Алматы,101 КВАДРАТ,17-11-2025 16:53:33,3Ds Max. Revit (обязательно) / ArchiCad. Опыт ведения авторского контроля (реализация проектов под ключ). Наличие портфолио. Профильное образование в сфере...,"Разработка проектов под ключ. Ведение авторского контроля. Поиск материалов, работа с поставщиками, запрос кп. Составление смет проекта, с ведомостями отделочных...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127797359
Графический дизайнер,200000 - 600000 KZT,Астана,Мұхамеджан,31-10-2025 15:35:21,,Әлеуметтік желілермен жұмыс инста пост / карусель / сторис / рилс обложка. Ютуб обложка. Таргет баннер. 400м2 коворкингта жұмыс жасау. ,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127187394
Дизайнер интерьера - визуализатор,180000 - 450000 KZT,Алматы,Монохром Бюро,20-11-2025 10:27:45,"Креативность, хороший художественный вкус,творческое мышление. Компьютерные навыки: 3dmax( Corona), Autocad, Photoshop, Archicad. Ответственность‚ внимательность, коммуникабельность‚ обучаемость. ","Разработка дизайн-концепции интерьеров. Создание фото-реалистичных изображений интерьеров грамотной постановкой освещения, детальным моделингом и качественной проработкой материалов. ","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127904946
Младший гейм-дизайнер,,Астана,Pixel Talent,28-10-2025 16:10:11,"Развитая насмотреность в играх игр на разных платформах. Творческий опыт в геймдеве, например: Навыки программирования, например:",Концептирование и подготовка контента новых путешествий и ивентов. Разработка игровых механик. Сборка карт путешествий.,"{'id': 'fullDay', 'name': 'Полный день'}",Нет опыта,Полная занятость,https://hh.ru/vacancy/125483159
Дизайнер-конструктор,300000 KZT,Астана,Laura,13-11-2025 19:08:21,"Опыт работы дизайнером или конструктором от 2 лет (желательно в сфере женской одежды). - Знание основ конструирования, технологии пошива и подбора...","Разработка и конструирование новых моделей женской одежды в соответствии со стилем бренда. - Подбор тканей, фурнитуры и создание технических эскизов. - ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127679257
3D motion дизайнер,450000 KZT,Алматы,Qazaq Stroy,20-11-2025 14:29:27,"Креативное мышление и умение генерировать идеи. Знание трендов дизайна, маркетинга и брендинга. Владение Adobe After Effects, Adobe Premiere Pro, Photoshop...",Разрабатывать и воплощать креативные концепции для продвижения бренда. Создавать 2D и 3D анимацию — в статике и динамике. ,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127715489
Графический дизайнер,,Астана,APPAZOV (АППАЗОВ),04-11-2025 16:16:45,"Работы много, поэтому ожидаем от тебя инициативность и желание совершенствоваться. - знание графических программ (минимальный набор — Illustrator, Photoshop, Adobe InDesign, но...","Основная часть наших проектов — айдентика, интерьер и брендинг. Делаем много, работаем в команде с арт-директором и бренд-стратегом. ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127264859
Дизайнер/ web-дизайнер,,Алматы,Андреева Руслана,10-11-2025 17:36:16,"Опыт в веб-дизайне (портфолио обязательно). Владение Figma, Photoshop, Illustrator. Знание трендов веб-дизайна и базовых принципов юзабилити. ",Внесение мелких маркетинговых изменений на сайте. Поддержка и редизайн отдельных блоков и страниц. Оптимизация UX/UI под новые задачи бизнеса. ,"{'id': 'remote', 'name': 'Удаленная работа'}",От 1 года до 3 лет,Частичная занятость,https://hh.ru/vacancy/127491361
Графический дизайнер,350000 KZT,Алматы,DOSFARM,12-11-2025 06:23:37,"Средне-специальное или высшее образование (желательно техническое). Опыт работы в информационных системах. Умение работать в Corel DRW, Adobe illustrator, Adobe...","Разработка дизайна для первичных и вторичных упаковок. Доработка, адаптация и редактирование дизайна существующих макетов. Проверка, согласование разработанных макетов перед подачей...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127553324
Дизайнер мебели,350000 - 600000 KZT,Алматы,Global TM (Глобал ТМ),20-11-2025 13:37:02,Пунктуальность. Желание учится. Знание графических программ. Умение общаться с людьми.,"Рисовать эскизы мебели и согласовывать с клиентом, предварительная цена. Встреча с клиентом, подписание договора. Передача эскизов в производство.","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127782392
Комплектатор дизайн-проекта интерьера,500000 KZT,Астана,Mihon Design,27-10-2025 16:24:00,"Работать с текстовыми программами и электронными таблицами, знание и умение работать в AutoCAD.","Поиск поставщиков и производителей материалов, мебели, оборудования, декора и аксессуаров, инженерных конструкций и инженерного оборудования, производителей индивидуальных изделий для дизайн...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127014300
Дизайнер 3D визуализатор,400000 KZT,Алматы,SG Architects,23-10-2025 19:19:09,"Уверенно работаешь в 3ds Max + Corona / V-Ray, SketchUp, Photoshop. Ответственный, внимательный и готов к интересным проектам. ",Креативные задачи и поддержку.,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/126889518
Архитектор концептуалист ландшафтного дизайна,350000 KZT,Астана,SANDYBAY,13-11-2025 10:16:48,"Владение программами AutoCAD, 3ds Max, Photoshop. Пунктуальность, систематичность, навык работы в команде.",Разработка концепции ландшафтного дизайна и плана озеленения в 2д с соблюдением СН и СП РК в AutoCAD. ,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127621353
Дизайнер корпусной мебели,300000 - 1500000 KZT,Алматы,МОЛДАГАЗИНА Б.Е,05-11-2025 08:01:19,"Опыт работы от 3х лет и выше. Знание программ Sketchup, pro100, kitchendraw. Умение вести переговоры. Стрессоустойчивость, (в компании...",Создание дизайна и просчет стоимости. Полное ведение проектов от начало до завершения. Консультация и выезд на замер к заказчикам. ,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127273122
Моушн-дизайнер Графический дизайнер,300000 - 500000 KZT,Караганда,CMK GROUP,20-11-2025 13:34:06,"Опыт работы Motion Designer / Graphic Designer от 1–2 лет. Уверенное владение: Наличие портфолио — обязательно. Креативность, аккуратность, умение работать в...","Создание анимаций, моушен-роликов и визуальных материалов для рекламы, соцсетей и презентаций. Разработка графического контента: баннеры, инфографика, буклеты. ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127916413
Менеджер по продажам в дизайн студию,500000 - 700000 KZT,Алматы,Exdeko,07-11-2025 11:59:37,Не боятся больших чеков. Способны находить общий язык с любым человеком. - Ориентация на результат. - Быстрая адаптация и способность осваивать информацию. - ,"Выполнять план продаж. Вы будете работать в окружении красоты и эстетики, проводя профессиональные консультации и заключая сделки с заказчиками. - ","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127402693
UX/UI-дизайнер,,Алматы,Моторная компания Астана-Моторс,13-11-2025 07:58:21,"Что ты будешь делать: Проектировать интерфейсы, в которых всё на своём месте: логично, понятно и красиво. Работать с дизайн-системой...","Глубоко вникать в пользовательские сценарии, проводить исследования и интервью, предлагать и проверять гипотезы. Есть кейсы с реальными интерфейсами и задачами.","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/126915243
Креативный дизайнер (Junior/Middle),150000 - 200000 KZT,Актау,АТИС,18-11-2025 14:44:31,"Уверенное владение Adobe Illustrator/Photoshop/InDesign/CorelDRAW. Портфолио реализованных рекламных проектов. Понимание производственных технологий и производственных ограничений: УФ, солвент, ПВХ...","Разработка креативных концепций для кампаний: наружка, indoor, POSM. Создание айдентики, мокапов для бизнеса (разработка логотипа, бренд-бук, стаил-бук, фирменный...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127834208
Графический дизайнер,300000 KZT,Астана,Platonus,20-11-2025 09:26:05,Опыт от 1 года. Опыт коммерческих проектов + портфолио (обязательно). Поддержка единого фирменного стиля компании. Опыт работы в Adobe Photoshop...,"Разработка и оформление корпоративных презентаций для руководства, внутренних и внешних проектов. Разработка айдентики компании(брендбуки, логотипы, фирменные стили). ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127310125
Менеджер по продажам/Дизайнер корпусной мебели,500000 - 1000000 KZT,Астана,ӘЙТІМБЕТ Қ. М,10-11-2025 08:28:48,Ответственность и целеустремленность. Пунктуальность. Анализ большого потока информации. Стрессоустойчивость. Ищем энергичного кандидата. МНОГО РАБОТЫ!,Прием и обработка входящих заявок. Моделирование мебели с учетом пожеланий. Работа в СRM. Обработка возражений. Учет.,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127440729
Дизайнер-печатник в типографию (Астана),300000 - 500000 KZT,Астана,Qazaqstan Invest Group,11-11-2025 18:29:31,CorelDRAW бағдарламасын жетік білу – міндетті. - опыт работы в сфере полиграфии и наружной рекламы – обязательно. - уверенное владение программой CorelDRAW – обязательно. - ,"Жұмыс шарттары, міндеттері және талаптарымен мұқият танысып шығып, егер талаптарға сай келсеңіз ғана өтініш жіберуіңізді. - тапсырыс берушінің талабына сай дизайн...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127549098
"Менеджер по продажам (ремонт квартир, дизайн)г.Алматы и г.Астана",700000 - 2000000 KZT,Алматы,MEGA MARKETING,22-10-2025 10:47:50,"Опыт работы в продажах от 2-3 лет (ремонт, дизайн или строительство). Отличные навыки общения и убеждения. Умение работать с...","Консультировать клиентов по услугам компании (ремонт, дизайн-проект, комплектация). ⁠ ⁠Проводить встречи в офисе, по заявкам из рекламы. ⁠ ⁠Сопровождать клиента от...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/126811884
"Графический дизайнер направления ""ДИЗАЙН УПАКОВКИ""",300000 - 700000 KZT,Алматы,Shaman Brands,23-10-2025 15:17:17,Зрелого дизайнера со значительным опытом именно в разработке дизайна упаковки и этикетки для продуктов питания. - Опыт работы с упаковкой и...,"Брендинг студия Shaman, разрабатываем дизайн упаковки, креатив и коммуникацию для компаний из Казахстана и Вьетнама. Основные направления - напитки, снеки, чай...","{'id': 'remote', 'name': 'Удаленная работа'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/126881070
Графический дизайнер (junior+/middle),300000 - 500000 KZT,Алматы,VAS GROUP Kazakhstan,05-11-2025 12:46:30,"Владение Figma, Photoshop, Illustrator + приветствуется Corel. Чувство композиции, цвета и бренда. Аккуратность, инициативность, соблюдение сроков.","Разработка визуалов для соцсетей. Подготовка креативов для рекламы. Дизайн флаеров, постеров, упаковки и POS-материалов. Подготовка макетов к печати. ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127304774
Дизайнер корпусной мебели,500000 - 1200000 KZT,Алматы,МУСАЕВА УЛПАШ ИСАЕВНА,03-11-2025 14:24:53,"Опыт в проектировании корпусной мебели (или интерьера). Умение работать в программах SketchUp, PRO100, AutoCAD или аналогичных. Ответственность, чувство вкуса...","Разрабатывать/просчитывать дизайн-проекты мебели под заказ (кухни, шкафы, гардеробные и др.). Делать визуализации и чертежи. Грамотно консультировать клиентов. ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127253907
Менеджер-Дизайнер корпусной мебели,400000 - 500000 KZT,Астана,ЦМУ Центр мебельных услуг,03-11-2025 19:32:59,"Опыт работы от 1 года и выше. Грамотный специалист, знающий свою работу. Коммуникабельность. Исполнительность. Опыт в продажах будет преимуществом. ","Создание визуализаций и эскизов мебели в программах ( Pro100,SketchUp, Базис). Согласование дизайн-проектов с клиентами и внесение изменений по...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127256525
Графический дизайнер в офис,200000 - 250000 KZT,Алматы,XXL MEBEL,20-11-2025 16:03:47,"Опыт работы графическим дизайнером 3 года. Владение Adobe Photoshop, Illustrator, InDesign, Premiere Pro (или аналогами). Навыки видеомонтажа и базовой анимации. ","Разработка рекламных баннеров (для сайтов, соцсетей, печатной продукции). Создание оформления банеров для веб-сайтов. Дизайн рекламных материалов для продвижения продукции...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127924189
Дизайнер интерьеров,300000 - 400000 KZT,Астана,Keepitup,13-11-2025 13:43:25,"Грамотная работа с цветами, сочетаниями материалов и текстур — умение «собирать» стиль и уют. Чувство стиля и цветовой грамотности. ","Выезд на замеры квартир/помещений — точность, аккуратность, внимательность. Первичная консультация с клиентом — помощь в определении стиля, зонирования, пожеланий. ","{'id': 'remote', 'name': 'Удаленная работа'}",От 1 года до 3 лет,Частичная занятость,https://hh.ru/vacancy/127633773
