title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
HR менеджер,500000 - 550000 KZT,Алматы,Rogers Pharma,04-11-2025 13:25:38,"Опыт от 4 лет в HR (в фармацевтике, FMCG, ритейле или продажах будет плюсом). Практика подбора, оценки и адаптации персонала. ","Полный цикл рекрутинга (в особенности — полевые и офисные сотрудники в продажах и маркетинге). Интервью, оценка кандидатов, проверка рекомендаций. ","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127262723
HR-менеджер,,Астана,ПРОМЫШЛЕННАЯ КОМПАНИЯ ТАНБАО,06-11-2025 15:21:29,"Высшее образование (желательно в области управления персоналом, юриспруденции, экономики). Опыт работы в сфере кадрового делопроизводства не менее 3 лет. ",Ведение кадрового делопроизводства в соответствии с Трудовым кодексом Республики Казахстан и иными нормативными правовыми актами. Подготовка и своевременное предоставление ежеквартальной...,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127372070
HR Manager,350000 - 400000 KZT,Алматы,Центр международного обучения науки и культуры,12-11-2025 10:49:30,Опыт работы в сфере рекрутинга от 3-х лет. Знание современных методов поиска и отбора персонала. Умение эффективно вести интервью...,"Подбор и адаптация сотрудников. Проведение собеседований. Развитие корпоративной культуры. Оценка персонала, мотивация, обучение. Работа с документацией сотрудников.","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127569905
HR-менеджер (отдел кадров),250000 - 500000 KZT,Шымкент,АТОМ КZ,20-11-2025 12:40:53,"Опыт работы в HR более 1 года. Владение Excel на базовом уровне (ведение таблиц, формулы, фильтры). Ответственность, коммуникабельность, внимательность к...",Подбор и собеседование кандидатов на открытые вакансии. Адаптация новых сотрудников и контроль прохождения испытательного срока. Оценка персонала и участие в...,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127244514
HR менеджер в клининговую компанию,330000 - 330001 KZT,Астана,Vita Service 2016,04-11-2025 07:15:34,"Ответственная , мобильная, порядочная . Всегда быть на телефоне ( день и вечер).","Требуется отдел кадров в клининговую компанию по подбору персонала ( техничек, менеджера, супервайзер ,Бухгалтер и т.д.) Поиск группы ватцап , каспи...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/126413276
HR-специалист на казахском языке,250000 - 450000 KZT,Алматы,SBS MARKETING,27-10-2025 10:03:21,,HR немесе рекрутинг саласында тәжірибесі бар.,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/126966638
HR менеджер по подбору персонала с функциями ассистента руководителя,350000 - 500000 KZT,Астана,Hi-Teck Qazaqstan,28-10-2025 10:17:16,"Высшее образование (желательно психология, управление персоналом, менеджмент или юриспруденция). Опыт работы от 2–3 лет в сфере подбора. ",Полный цикл подбора персонала: от формирования портрета кандидата до выхода кандидата на работу. Размещение вакансий на hh.kz и других площадках. ,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/126222972
HR-Менеджер,594000 - 594000 KZT,Астана,Астана Тазалык,06-11-2025 10:05:39,"Высшее образование (предпочтительно в области управления персоналом, психологии, экономики или менеджмента). Опыт работы в сфере HR не менее 5 лет. ","Разработка и реализация HR-стратегии, соответствующей целям и приоритетам предприятия. Формирование и развитие эффективной системы управления персоналом и корпоративной культуры. ","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127350184
HR-менеджер,,Астана,АНА ҮЙІ,22-10-2025 13:57:05,Мы хотим вместе с Вами построить сильный HR бренд.  Опыт работы со всемирно-известными брендами. Опыт работы в сфере HR. ,"Общественный фонд «АНА УЙІ» — благотворительный фонд, который осуществляет свою деятельность с целью профилактики социального сиротства и уменьшения количества детей, ежегодно...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/126823574
Менеджер по персоналу (HR),,Алматы,Manpower,11-11-2025 14:32:00,Аналогичный опыт работы (производство будет преимуществом).,Найм персонала. Учет рабочего времени. Ведение и организация делопроизводства в отделе. Разработка и организация мотивационных программ в организации. ,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127532622
Старший HR BP в IT,,Алматы,MP Solutions,29-10-2025 08:18:16,"Высшее образование (гуманитарное или управленческое). Опыт работы <highlighttext>HR</highlighttext>-<highlighttext>менеджером</highlighttext> или HR-дженералистом от 3 лет, желательно в компаниях с развитым...",ECom-решения для предпринимателей. Финтех-инструменты для закупа и торговли. Автоматизация складской и транспортной логистики. Инновационные продукты для оптимизации бизнес...,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127086753
HR-менеджер / Менеджер по подбору персонала,350000 KZT,Алматы,Мясная продукция,12-11-2025 12:36:15,"Опыт работы от 1 года в торговле, общепите или производстве. Креативность, активность, вовлечённость в работу. Владение современными каналами подбора и...","Подбор персонала на линейные и офисные позиции (торговля, общепит, производство). Проведение собеседований. Применение современных методов рекрутинга (в том числе через...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127581553
"Преподаватель по Кадровому делопроизводству (делопроизводство, HR, архивное дело)",250000 - 300000 KZT,Астана,Центр подготовки Professional,06-11-2025 12:36:01,Наличие опыта в преподавании. Обучение в дневное время и по вечерам(онлайн/офлайн формат). Знание своего предмета как в теории...,"Преподавание по кадровому делопроизводству,HR-менеджмент, делопроизводство, архивное дело. Проведение обучающих курсов как индивидуально, так и в группе. ","{'id': 'remote', 'name': 'Удаленная работа'}",От 3 до 6 лет,Частичная занятость,https://hh.ru/vacancy/127362382
HR менеджер (г. Семей),500000 KZT,Семей,Сеть ресторанов быстрого питания «Dämdı»,19-11-2025 14:13:29,"Если Вы имеете успешный опыт на аналогичной должности от 3 лет, готовы переехать в Семей, разрабатывали программы адаптации, мотивации и...","Продуктивные сотрудники усиливающие друг друга, работающая система найма адаптации и обучения сотрудников, созданная и внедренная система мотивации, прописанные и работающие...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/126877139
HR-специалист/Офис-менеджер в одном лице,,Астана,IRG Kazakhstan (Ай Эр Джи Казахстан),30-10-2025 10:18:46,Отличное владение государственным языком. Опыт работы кадровиком/офис-менеджером не менее 5 лет. Знание трудового законодательства. Знание основ психологии и...,"Поиск и подбор персонала для головного офиса и филиалов. Организация и проведение собеседований кандидатов (в офисе, по телефону, online). ","{'id': 'fullDay', 'name': 'Полный день'}",Более 6 лет,Полная занятость,https://hh.ru/vacancy/127134040
"HR-менеджер, эйчар",,Атырау,АтырауПромВентиляция,05-11-2025 08:06:33,Опыт работы в HR не менее 2 лет (желательно в производственной или технической компании). Знание трудового законодательства РК. ,"Подбор, адаптация и развитие персонала (рабочие, инженеры, офисные сотрудники). Ведение кадрового делопроизводства в соответствии с Трудовым кодексом РК. ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127273286
HR - менеджер,320000 KZT,Алматы,ТАНГЕНС,19-11-2025 14:35:14,Высшее или среднее специальное образование по направлению Юриспруденция. Желательно наличие опыта работы в кадровом делопроизводстве не менее 2 года. ,"Оформление приёма, перевода и увольнения работников. Ведение и хранение личных дел, трудовых договоров, приказов, архив. Ведение штатного расписания, табеля учёта...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127480361
